Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:19:19,GB,[]
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:18:48,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:18:05,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:17:25,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:16:19,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:15:10,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Marcus,Heart of Stone,FireTV Stick 2014,2023-08-26 22:15:04,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0}]"
Marcus,10x10,FireTV Stick 2014,2023-08-26 20:32:11,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":10057,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":12657,""mediaOffsetMs"":3006},{""eventType"":""reposition"",""sessionOffsetMs"":16025,""mediaOffsetMs"":60000},{""eventType"":""playing"",""sessionOffsetMs"":16363,""mediaOffsetMs"":62124},{""eventType"":""paused"",""sessionOffsetMs"":63967,""mediaOffsetMs"":109700},{""eventType"":""playing"",""sessionOffsetMs"":64136,""mediaOffsetMs"":109700},{""eventType"":""paused"",""sessionOffsetMs"":109743,""mediaOffsetMs"":155566},{""eventType"":""playing"",""sessionOffsetMs"":155903,""mediaOffsetMs"":155566},{""eventType"":""paused"",""sessionOffsetMs"":1579724,""mediaOffsetMs"":1579472},{""eventType"":""playing"",""sessionOffsetMs"":1773629,""mediaOffsetMs"":1579472},{""eventType"":""paused"",""sessionOffsetMs"":2706899,""mediaOffsetMs"":2512469},{""eventType"":""playing"",""sessionOffsetMs"":2709399,""mediaOffsetMs"":2512469},{""eventType"":""paused"",""sessionOffsetMs"":2884813,""mediaOffsetMs"":2688179},{""eventType"":""playing"",""sessionOffsetMs"":3176114,""mediaOffsetMs"":2688179},{""eventType"":""paused"",""sessionOffsetMs"":4009492,""mediaOffsetMs"":3521155},{""eventType"":""playing"",""sessionOffsetMs"":4010884,""mediaOffsetMs"":3521155},{""eventType"":""paused"",""sessionOffsetMs"":4032685,""mediaOffsetMs"":3542781},{""eventType"":""reposition"",""sessionOffsetMs"":4034727,""mediaOffsetMs"":3550000},{""eventType"":""playing"",""sessionOffsetMs"":4035143,""mediaOffsetMs"":3551650},{""eventType"":""paused"",""sessionOffsetMs"":4043743,""mediaOffsetMs"":3560149},{""eventType"":""reposition"",""sessionOffsetMs"":4045363,""mediaOffsetMs"":3570000},{""eventType"":""playing"",""sessionOffsetMs"":4045816,""mediaOffsetMs"":3573655},{""eventType"":""paused"",""sessionOffsetMs"":4527961,""mediaOffsetMs"":4055858},{""eventType"":""reposition"",""sessionOffsetMs"":4530637,""mediaOffsetMs"":4080000},{""eventType"":""playing"",""sessionOffsetMs"":4531019,""mediaOffsetMs"":4082155},{""eventType"":""paused"",""sessionOffsetMs"":4549920,""mediaOffsetMs"":4101015},{""eventType"":""reposition"",""sessionOffsetMs"":4552396,""mediaOffsetMs"":4130000},{""eventType"":""playing"",""sessionOffsetMs"":4552715,""mediaOffsetMs"":4132203},{""eventType"":""paused"",""sessionOffsetMs"":4554916,""mediaOffsetMs"":4134392},{""eventType"":""reposition"",""sessionOffsetMs"":4555851,""mediaOffsetMs"":4150000},{""eventType"":""playing"",""sessionOffsetMs"":4556171,""mediaOffsetMs"":4150253},{""eventType"":""paused"",""sessionOffsetMs"":5057376,""mediaOffsetMs"":4651371},{""eventType"":""reposition"",""sessionOffsetMs"":5060709,""mediaOffsetMs"":4700000},{""eventType"":""playing"",""sessionOffsetMs"":5061130,""mediaOffsetMs"":4702764},{""eventType"":""paused"",""sessionOffsetMs"":5069930,""mediaOffsetMs"":4711512},{""eventType"":""reposition"",""sessionOffsetMs"":5072430,""mediaOffsetMs"":4800000},{""eventType"":""playing"",""sessionOffsetMs"":5072764,""mediaOffsetMs"":4802882},{""eventType"":""paused"",""sessionOffsetMs"":5073965,""mediaOffsetMs"":4804132},{""eventType"":""playing"",""sessionOffsetMs"":5552217,""mediaOffsetMs"":4804132},{""eventType"":""paused"",""sessionOffsetMs"":5579718,""mediaOffsetMs"":4832298},{""eventType"":""stopped"",""sessionOffsetMs"":5584740,""mediaOffsetMs"":4832298}]"
Marcus,Don't Say a Word,FireTV Stick 2014,2023-08-26 20:16:16,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":21999,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":30095,""mediaOffsetMs"":9181},{""eventType"":""reposition"",""sessionOffsetMs"":36609,""mediaOffsetMs"":720000},{""eventType"":""playing"",""sessionOffsetMs"":38303,""mediaOffsetMs"":718790},{""eventType"":""paused"",""sessionOffsetMs"":40190,""mediaOffsetMs"":720011},{""eventType"":""reposition"",""sessionOffsetMs"":40190,""mediaOffsetMs"":710721},{""eventType"":""paused"",""sessionOffsetMs"":40503,""mediaOffsetMs"":710721},{""eventType"":""reposition"",""sessionOffsetMs"":47138,""mediaOffsetMs"":630000},{""eventType"":""playing"",""sessionOffsetMs"":48391,""mediaOffsetMs"":628724},{""eventType"":""paused"",""sessionOffsetMs"":49513,""mediaOffsetMs"":629415},{""eventType"":""reposition"",""sessionOffsetMs"":49513,""mediaOffsetMs"":619903},{""eventType"":""playing"",""sessionOffsetMs"":60851,""mediaOffsetMs"":428506},{""eventType"":""paused"",""sessionOffsetMs"":72448,""mediaOffsetMs"":440134},{""eventType"":""reposition"",""sessionOffsetMs"":75533,""mediaOffsetMs"":450000},{""eventType"":""playing"",""sessionOffsetMs"":76766,""mediaOffsetMs"":450547},{""eventType"":""paused"",""sessionOffsetMs"":160130,""mediaOffsetMs"":533900},{""eventType"":""reposition"",""sessionOffsetMs"":162447,""mediaOffsetMs"":560000},{""eventType"":""playing"",""sessionOffsetMs"":163335,""mediaOffsetMs"":560651},{""eventType"":""paused"",""sessionOffsetMs"":231010,""mediaOffsetMs"":628288},{""eventType"":""playing"",""sessionOffsetMs"":231593,""mediaOffsetMs"":628288},{""eventType"":""stopped"",""sessionOffsetMs"":622526,""mediaOffsetMs"":1019221}]"
Marcus,Don't Say a Word,FireTV Stick 2014,2023-08-26 19:33:16,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13114,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":27426,""mediaOffsetMs"":14014},{""eventType"":""playing"",""sessionOffsetMs"":29426,""mediaOffsetMs"":16016},{""eventType"":""playing"",""sessionOffsetMs"":31226,""mediaOffsetMs"":18018},{""eventType"":""paused"",""sessionOffsetMs"":34825,""mediaOffsetMs"":21902},{""eventType"":""playing"",""sessionOffsetMs"":273257,""mediaOffsetMs"":21902},{""eventType"":""playing"",""sessionOffsetMs"":274060,""mediaOffsetMs"":22022},{""eventType"":""playing"",""sessionOffsetMs"":277759,""mediaOffsetMs"":26026},{""eventType"":""paused"",""sessionOffsetMs"":281858,""mediaOffsetMs"":30439},{""eventType"":""playing"",""sessionOffsetMs"":284759,""mediaOffsetMs"":30439},{""eventType"":""paused"",""sessionOffsetMs"":444329,""mediaOffsetMs"":189855},{""eventType"":""playing"",""sessionOffsetMs"":444829,""mediaOffsetMs"":189855},{""eventType"":""paused"",""sessionOffsetMs"":831261,""mediaOffsetMs"":577633},{""eventType"":""stopped"",""sessionOffsetMs"":2112198,""mediaOffsetMs"":577633}]"
