Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Coco,GB,iPad,0,sex ed,,select,title_results,2023-07-15 20:51:59
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 1""",play,title_results,2023-07-15 20:20:21
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 8""",play,title_results,2023-07-15 20:19:07
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 7""",play,title_results,2023-07-15 20:18:39
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 6""",play,title_results,2023-07-15 20:18:00
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 4""",play,title_results,2023-07-15 20:17:18
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 4""",play,title_results,2023-07-15 20:16:49
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 3""",play,title_results,2023-07-15 20:15:39
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 2""",play,title_results,2023-07-15 20:14:44
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 1""",play,title_results,2023-07-15 20:13:21
Coco,GB,iPad,0,sex ed,"Sex Education: Season 1: ""Episode 1""",play,title_results,2023-07-15 20:00:58
Coco,GB,iPad,0,sex ed,,select,title_results,2023-07-15 20:00:54
Coco,GB,iPad,0,love island,"Perfect Match: Season 1: ""Love Is the End Game""",play,title_results,2023-07-15 19:48:57
Coco,GB,iPad,0,love island,,select,title_results,2023-07-15 19:48:48
Coco,GB,Streaming Stick,0,too,,play,title_results,2023-07-12 19:30:15
Coco,GB,Streaming Stick,0,too,,select,title_results,2023-07-12 19:30:06
Marcus,GB,Streaming Stick,0,,Don't Say a Word,select,prequery_results,2023-08-26 20:16:00
Marcus,GB,Streaming Stick,0,dont,Don't Say a Word,select,title_results,2023-08-26 19:32:38
Marcus,GB,Streaming Stick,0,lu,,select,title_results,2023-08-22 21:35:53
Marcus,GB,Streaming Stick,0,ha,Happiness for Beginners,play,title_results,2023-08-13 16:39:22
Marcus,GB,Streaming Stick,0,ha,Happiness for Beginners,play,title_results,2023-08-13 15:47:28
Marcus,GB,Streaming Stick,0,ha,Happiness for Beginners,select,title_results,2023-08-13 15:47:17
Marcus,GB,Streaming Stick,0,mic,Michael McIntyre: Showman,select,title_results,2023-07-23 20:07:00
Marcus,GB,Streaming Stick,0,edge o,The Edge of Seventeen,select,suggestion_results,2023-07-23 19:41:49
Marcus,GB,Streaming Stick,0,bef,Before I Fall,select,title_results,2023-07-22 14:42:58
Marcus,GB,Streaming Stick,0,comed,,play,title_results,2023-06-16 21:14:29
Marcus,GB,Streaming Stick,0,comed,,select,title_results,2023-06-16 21:14:06
Marcus,GB,Streaming Stick,0,the spy,,play,title_results,2023-06-05 18:57:06
Marcus,GB,Streaming Stick,0,the spy,,select,title_results,2023-06-05 18:56:35
Marcus,GB,Streaming Stick,0,,,play,prequery_results,2023-05-19 21:09:07
Marcus,GB,Streaming Stick,0,,,select,prequery_results,2023-05-19 21:08:48
Marcus,GB,iPhone,0,,,select,prequery_results,2023-05-18 17:44:41
Marcus,GB,iPhone,0,som,,select,title_results,2023-05-16 17:52:59
Marcus,GB,Streaming Stick,0,,Finder's Fee,play,prequery_results,2023-05-01 21:33:44
Marcus,GB,Streaming Stick,0,,Finder's Fee,select,prequery_results,2023-05-01 21:33:36
Marcus,GB,Streaming Stick,0,,,play,prequery_results,2023-03-21 21:58:38
Marcus,GB,Streaming Stick,0,,,select,prequery_results,2023-03-21 21:58:18
Marcus,GB,Streaming Stick,0,good,Good Will Hunting,select,title_results,2023-02-13 19:58:45
Marcus,GB,Streaming Stick,0,good,Good Will Hunting,select,title_results,2023-02-13 19:58:45
Marcus,GB,Streaming Stick,0,sei,Jerry Seinfeld: I'm Telling You for the Last Time,play,title_results,2022-10-21 21:59:07
Marcus,GB,Streaming Stick,0,sei,Jerry Seinfeld: I'm Telling You for the Last Time,play,title_results,2022-10-21 21:59:07
Marcus,GB,Streaming Stick,0,sei,Jerry Seinfeld: I'm Telling You for the Last Time,select,title_results,2022-10-21 21:59:02
Marcus,GB,Streaming Stick,0,sei,Jerry Seinfeld: I'm Telling You for the Last Time,select,title_results,2022-10-21 21:59:02
Marcus,GB,Streaming Stick,0,unc,,play,title_results,2022-08-16 19:38:47
