Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Marcus,NFCDCH-PH-KFXZKJXKEPL9WUNVNH1VE5FHWT3XHF,Netflix iPhone-Chrome iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-PH-KFUJ64028LD1E41W0C0P34TGHGM5L1,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-PH-KFP3ZJ8EU0AL1PNM1VJ2WLKK7YKKM5,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon Fire TV Stick 2020 + Streaming Stick,2022-05-10T20:52:47.984Z,2023-08-26T22:51:31.862Z,2022-05-10T20:52:47.984Z,2023-08-26T22:36:50.326Z,2022-05-10T20:52:47.984Z,2023-08-26T22:51:31.862Z,2022-05-10T20:52:47.984Z,2023-08-26T22:36:50.326Z,2023-08-26T22:17:18.536Z
Marcus,AMZNST2014-00036-00104982,FireTV Stick 2014,2021-10-28T18:41:44.984Z,2023-08-26T22:19:19.476Z,2021-10-28T18:42:27.366Z,2023-08-26T22:19:19.476Z,2021-10-28T18:41:44.984Z,2023-08-26T22:19:19.476Z,2021-10-28T18:42:27.366Z,2023-08-26T22:19:19.476Z,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-PH-KFMYFUW2VWF6N4L9WCJ32RMW2QGCMK,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFUWA-001-EC8DB1CC689FD43AE81C33948A57C9D338696621EAF67F67A03CC2E7A6F6207D,Netflix Windows App - Cadmium Windows Mobile,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,2023-04-15T09:20:54.336Z,2023-08-24T04:18:13.791Z,1970-01-01T00:00:00.000Z
Marcus,NFAPPL-01-IPAD7=11-DFA9936C743B3AB3EE31969F9B578344D4A265B1DE00BF8F84747DB61659B7D5,Apple iPad 10.2 inch 7th Gen Wi-Fi iPad,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,2023-04-14T18:15:07.400Z,2023-08-22T19:11:38.889Z,1970-01-01T00:00:00.000Z
Marcus,NFCDCH-02-KF7GTDQ05FAWJQH0C7L73WWDWR7HXL,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFCDSF-PH-KEVWZW6M6TV1UH2K4LUAWNKEUA9H2T,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Marcus,NFAPPL-02-IPHONE9=1-D13373DA500CA76C6AF253049EBDA37C9D0272C95F6EE7021C1BFB1FF8E54911,Apple iPhone 7 (CDMA),2021-10-07T17:05:56.822Z,2023-04-24T17:10:43.070Z,2021-10-07T17:05:56.822Z,2023-04-24T17:10:43.070Z,2021-10-07T17:05:56.822Z,2023-04-24T17:10:43.070Z,2021-10-07T17:05:56.822Z,2023-04-24T17:10:43.070Z,1970-01-01T00:00:00.000Z
Marcus,NFAPPL-02-IPHONE9=1-7EAF89462D2B37AC32DAB60E726AF723C8FFA64A53DCAD0487200FCB2BC70C07,Apple iPhone 7 (CDMA),2023-05-11T17:34:55.784Z,2023-06-29T15:29:12.188Z,2023-05-11T17:34:55.784Z,2023-06-29T15:29:12.188Z,2023-05-11T17:34:55.784Z,2023-06-29T15:29:12.188Z,2023-05-11T17:34:55.784Z,2023-06-29T15:29:12.188Z,1970-01-01T00:00:00.000Z
Marcus,NFAPPL-01-IPAD12=1-9F9A04E9BE4CAEEE30AE0C870C6BD33D43E6FB0ADA5C9790452D861A1AEDA656,Apple iPad 10.2 inch 9th Gen Wi-Fi,2023-05-29T22:49:36.553Z,2023-08-14T16:05:03.192Z,2023-05-29T22:49:36.553Z,2023-08-14T16:05:03.192Z,2023-05-29T22:49:36.553Z,2023-08-14T16:05:03.192Z,2023-05-29T22:49:36.553Z,2023-08-14T16:05:03.192Z,1970-01-01T00:00:00.000Z
