Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,86.165.72.187,GB,Norfolk,WRENINGHAM,2023-08-10 22:53:06
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,81.132.24.152,GB,Norfolk,SAHAM HILLS,2023-07-28 22:28:47
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,51.14.158.44,GB,Norfolk,WYMONDHAM,2023-07-24 00:53:12
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,86.180.181.12,GB,Norfolk,EAST HARLING,2022-12-25 21:43:11
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,213.122.120.217,GB,East Sussex,UCKFIELD,2023-07-21 19:11:08
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,147.148.113.216,GB,Norfolk,WYMONDHAM,2023-02-20 23:50:05
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,86.171.197.234,GB,Norfolk,GREAT HOCKHAM,2023-02-13 19:58:55
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,109.152.232.7,GB,Norfolk,HINGHAM,2023-07-29 06:42:05
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,81.156.162.119,GB,Norfolk,ASHILL,2023-04-06 23:04:17
AMZNST2014-00036-00104982,Amazon_AFTM,Amazon_AFTM,86.173.16.127,GB,Norfolk,HINGHAM,2023-08-26 19:33:16
NFANDROID1-PRV-P-L3-SAMSUSM-M336BU-22594-56A62B848F6074CC059F7A652AF9BA3AAC99E86CB4632198CF9F42434FAA8184,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,85.255.233.153,GB,Oldham,CHADDERTON,2023-04-21 15:03:43
NFANDROID1-PRV-P-L3-SAMSUSM-M336BU-22594-7A991651087709E965E9195343641A5A8FAA858250F0494DBFF871B5E5C166FB,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,84.71.221.195,GB,Buckinghamshire,HAZLEMERE,2023-05-02 08:21:19
NFANDROID1-PRV-P-SAMSUSM-M336BU-25366-764E43725A1FA318E04FECF7EB0FF5FC2A27B3D83ADC5B4963FD5E959DE6992E,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,84.71.221.195,GB,Buckinghamshire,HAZLEMERE,2023-04-14 15:14:59
NFANDROID1-PRV-P-SAMSUSM-M336BU-25366-764E43725A1FA318E04FECF7EB0FF5FC2A27B3D83ADC5B4963FD5E959DE6992E,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,samsung_SM-M336BU_chid_2eb27aa0-3926-11e9-8c73-9b498cd1a550,84.66.197.93,GB,Bracknell Forest,BRACKNELL,2023-04-17 16:41:49
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.66.206.213,GB,Surrey,HORLEY,2022-12-28 18:01:37
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.67.41.108,GB,Tower Hamlets,TOWER HAMLETS,2023-05-08 11:54:56
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.71.17.157,GB,Haringey,HARINGEY,2023-07-11 21:20:34
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.67.41.108,GB,Bromley,BROMLEY,2023-06-27 16:53:12
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.66.227.255,GB,Sutton,CARSHALTON,2023-01-08 20:13:29
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.71.221.195,GB,Greenwich,GREENWICH,2023-02-01 18:38:00
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.67.41.108,GB,Southwark,SOUTHWARK,2023-06-03 21:19:59
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,84.66.246.104,GB,Surrey,OXSHOTT,2023-08-08 13:45:39
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,90.247.217.211,GB,Southampton,SOUTHAMPTON,2022-11-02 08:45:27
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,90.242.167.71,GB,Kensington And Chelsea,KENSINGTON AND CHELSEA,2022-12-06 11:13:50
NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Amazon_AFTSSS,Amazon_AFTSSS,90.242.167.71,GB,Croydon,CROYDON,2022-11-23 19:12:36
