Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Coco,2023-07-23 11:37:16,Multichannel Prepromote,NOTIFICATIONS,GB,,,Dream,GMAIL.COM,,,--,0
Marcus,2023-08-29 17:07:52,Multichannel Launch,PUSH,GB,en-GB,en-GB,You Are So Not Invited to My Bat Mitzvah,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-29 17:07:52,Multichannel Launch,NOTIFICATIONS,GB,,,You Are So Not Invited to My Bat Mitzvah,GMAIL.COM,,,--,0
Marcus,2023-08-28 16:45:44,Borrower Resolution Interstitial,ALERTS,GB,,,,GMAIL.COM,,,--,0
Marcus,2023-08-28 15:43:38,Multichannel Coming Soon,PUSH,GB,en-GB,en-GB,The Little Things,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-28 15:43:38,Multichannel Coming Soon,NOTIFICATIONS,GB,,,The Little Things,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-27 09:51:54,Borrower Resolution Interstitial,ALERTS,GB,,,,GMAIL.COM,,,--,0
Marcus,2023-08-26 16:45:26,Multichannel Launch,PUSH,GB,en-GB,en-GB,Who is Erin Carter?,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-26 16:44:57,Multichannel Launch,NOTIFICATIONS,GB,,,Who is Erin Carter?,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-26 08:41:13,Borrower Resolution Interstitial,ALERTS,GB,,,,GMAIL.COM,,,--,0
Marcus,2023-08-25 13:40:30,Multichannel Launch,PUSH,GB,en-GB,en-GB,Trust Me,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-25 13:40:29,Multichannel Launch,NOTIFICATIONS,GB,,,Trust Me,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-23 13:13:50,Multichannel Prepromote,PUSH,GB,en-GB,en-GB,You Are So Not Invited to My Bat Mitzvah,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-23 13:13:49,Multichannel Prepromote,NOTIFICATIONS,GB,,,You Are So Not Invited to My Bat Mitzvah,GMAIL.COM,,,--,0
Marcus,2023-08-22 17:17:10,Multichannel Launch,NOTIFICATIONS,GB,,,TIM,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-22 17:17:10,Multichannel Launch,PUSH,GB,en-GB,en-GB,TIM,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-21 19:47:32,Edr Request Verification,EMAIL,GB,en-GB,en-GB,,GMAIL.COM,,,--,0
Marcus,2023-08-21 19:47:13,New Device Login,EMAIL,GB,en-GB,en-GB,,GMAIL.COM,,,--,0
Marcus,2023-08-21 17:14:22,Multichannel Prepromote,PUSH,GB,en-GB,en-GB,Squared Love Everlasting,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-21 17:14:21,Multichannel Prepromote,NOTIFICATIONS,GB,,,Squared Love Everlasting,GMAIL.COM,,,--,0
Marcus,2023-08-20 13:10:43,Multichannel Prepromote,NOTIFICATIONS,GB,,,Copshop,GMAIL.COM,,,--,0
Marcus,2023-08-20 13:10:43,Multichannel Prepromote,PUSH,GB,en-GB,en-GB,Copshop,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-17 14:52:21,Multichannel Continue Watching,PUSH,GB,en-GB,en-GB,Black Mirror,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-17 14:52:21,Multichannel Continue Watching,NOTIFICATIONS,GB,,,Black Mirror,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-16 16:56:27,Multichannel Coming Soon,NOTIFICATIONS,GB,,,Derry Girls,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-16 16:56:14,Multichannel Coming Soon,PUSH,GB,en-GB,en-GB,Derry Girls,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-15 16:17:22,Multichannel Launch,NOTIFICATIONS,GB,,,Heart of Stone,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-13 17:53:43,Borrower Resolution Interstitial,ALERTS,GB,,,,GMAIL.COM,,,--,0
Marcus,2023-08-13 13:51:48,Multichannel Prepromote,PUSH,GB,en-GB,en-GB,Daredevil,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-13 13:51:48,Multichannel Prepromote,NOTIFICATIONS,GB,,,Daredevil,GMAIL.COM,,,--,0
Marcus,2023-08-12 16:45:25,Multichannel Prepromote,NOTIFICATIONS,GB,,,"Homo Futurus, the Inside Story",GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-12 16:45:25,Multichannel Prepromote,PUSH,GB,en-GB,en-GB,"Homo Futurus, the Inside Story",GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-12 09:52:31,Borrower Resolution Interstitial,ALERTS,GB,,,,GMAIL.COM,,,--,0
Marcus,2023-08-11 17:24:18,Multichannel Launch,NOTIFICATIONS,GB,,,Painkiller,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-11 17:24:18,Multichannel Launch,PUSH,GB,en-GB,en-GB,Painkiller,GMAIL.COM,,,APPLE_iPhone9-1,0
Marcus,2023-08-11 09:02:37,Borrower Resolution Interstitial,ALERTS,GB,,,,GMAIL.COM,,,--,0
